LAT;;;;;46.6943;46.6943;46.6943;46.6943;46.6943;46.6943
LON;;;;;5.57451;5.57451;5.57451;5.57451;5.57451;5.57451
ASL;;;;;341.000;341.000;341.000;341.000;341.000;341.000
CITY;;;;;Chille;Chille;Chille;Chille;Chille;Chille
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Snowfall amount raw;Total Cloud Cover;Shortwave Radiation
UNIT;;;;;°C;%;mm;cm;%;W/m2
AGGREGATION;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];Shortwave Radiation  [sfc]
2018;09;25;20;00;10.59;59.00;0.00;0.00;0.00;12.46
2018;09;25;21;00;9.65;65.00;0.00;0.00;0.00;0.00
2018;09;25;22;00;8.55;68.00;0.00;0.00;0.00;0.00
2018;09;25;23;00;7.69;73.00;0.00;0.00;0.00;0.00
2018;09;26;00;00;7.58;68.00;0.00;0.00;0.00;0.00
2018;09;26;01;00;7.02;66.00;0.00;0.00;0.00;0.00
2018;09;26;02;00;7.22;66.00;0.00;0.00;0.00;0.00
2018;09;26;03;00;9.46;53.00;0.00;0.00;0.00;0.00
2018;09;26;04;00;9.82;52.00;0.00;0.00;0.00;0.00
2018;09;26;05;00;9.90;54.00;0.00;0.00;0.00;0.00
2018;09;26;06;00;9.54;58.00;0.00;0.00;0.00;0.00
2018;09;26;07;00;8.57;61.00;0.00;0.00;0.00;0.00
2018;09;26;08;00;8.95;60.00;0.00;0.00;0.00;11.57
2018;09;26;09;00;11.69;59.00;0.00;0.00;0.00;145.07
2018;09;26;10;00;14.38;55.00;0.00;0.00;0.00;312.39
2018;09;26;11;00;16.15;56.00;0.00;0.00;0.00;458.35
2018;09;26;12;00;17.99;54.00;0.00;0.00;0.00;565.15
2018;09;26;13;00;19.21;54.00;0.00;0.00;3.30;633.68
2018;09;26;14;00;20.48;54.00;0.00;0.00;0.00;655.04
2018;09;26;15;00;21.44;49.00;0.00;0.00;0.00;630.12
2018;09;26;16;00;21.75;47.00;0.00;0.00;0.00;558.03
2018;09;26;17;00;21.68;47.00;0.00;0.00;0.00;445.89
2018;09;26;18;00;21.21;50.00;0.00;0.00;0.00;301.71
